Lem [Jet Lancer], Based!!!   [2020-09-18 14:50:40.006000]
Ash [Jet Lancer], Cringe!!!   [2020-09-18 14:50:24.702000]
Ash, Cringe..   [2020-09-18 14:50:04.291000]
Prime Vandal, Based!!   [2020-09-18 14:49:25.916000]
Jet Lancer, Cringe...   [2020-09-18 14:48:28.375000]
Rush Phantom, Cringe.....   [2020-09-18 14:48:09.537000]
radical highway, Cringe...   [2020-09-18 14:46:14.355000]
cheese armor, Cringe!!!!   [2020-09-18 00:33:26.196000]
cactus armor, Cringe!   [2020-09-17 19:34:07.647000]
being clonck gay, Based!!!   [2020-09-17 01:36:26.734000]
calculus, Cringe....   [2020-09-17 00:51:44.447000]
math, Cringe!   [2020-09-17 00:26:33.911000]
changing your mind, Cringe.....   [2020-09-17 00:15:22.214000]
implementing a universal basic income, Cringe!   [2020-09-17 00:11:18.606000]
eliminating the two-party system, Based!!   [2020-09-17 00:10:45.493000]
dropping math from school curriculum, Cringe!!!!!!!   [2020-09-17 00:04:26.105000]
metal music, Based!!!!   [2020-09-15 23:54:37.258000]
metal sonic, Based..   [2020-09-15 22:33:03.753000]
shadow the hedgehog, Based!!!   [2020-09-15 22:32:57.618000]
stardust speedway bad future jp, Cringe!!   [2020-09-15 22:31:29.475000]
radical highway, Based..   [2020-09-15 22:30:55.303000]
r/noahgettheboat, Cringe.......   [2020-09-15 22:27:14.433000]
goatse, Based!   [2020-09-15 22:24:58.656000]
a future where wars, fought in virtual reality, Based!!!!!!!   [2020-09-15 02:50:49.399000]
elon musk as lord emperor of mars, Based.   [2020-09-15 02:48:12.034000]
a war that never changes, Cringe......   [2020-09-15 02:47:17.361000]
putin destroying the earth with excessive funk by dancing to rasputin, Cringe....   [2020-09-15 02:46:46.217000]
mutually assured destruction, Cringe.....   [2020-09-15 02:45:25.475000]
a unified earth, Cringe...   [2020-09-15 02:45:03.091000]
jack noir dying every time, Cringe!!!!!!!   [2020-09-15 02:44:01.079000]
the survival of the sovereign slayer, Cringe....   [2020-09-15 02:43:28.117000]
the death of spades slick, Based!!   [2020-09-15 02:42:45.556000]
retJohn giving spades slick the bec ring, Cringe!!!!!!   [2020-09-15 02:42:27.922000]
spades slick, Based....   [2020-09-15 02:41:41.389000]
bec noir, Cringe.....   [2020-09-15 02:41:17.520000]
bec noir making a return as YLLH's pet/minion, Cringe!!!!!   [2020-09-15 02:40:45.793000]
the concept of yiffany longstocking lalonde-harley, Based!!!!!!!   [2020-09-15 02:34:51.562000]
cherub romance, Based......   [2020-09-15 02:32:30.306000]
troll romance, Cringe.......   [2020-09-15 02:32:17.007000]
biblical lovecraftian horror angels, Based...   [2020-09-15 02:31:43.948000]
the cthulhu mythos, Cringe!!   [2020-09-15 02:30:44.174000]
gigantamax wailord, Based......   [2020-09-15 02:28:54.834000]
pokémon made by not-gamefreak, Based!!!!!   [2020-09-15 02:28:11.204000]
bug-type eeveelution, Based!!!   [2020-09-15 02:26:50.169000]
pikachu with the ability to evolve like eevee, Cringe.....   [2020-09-15 02:26:34.669000]
alternate fairy eeveelutions to sylveon, Cringe.....   [2020-09-15 02:25:14.994000]
fairy-type, Based!!!!   [2020-09-15 02:24:26.978000]
spaniards, Based!   [2020-09-15 02:23:44.314000]
rat having fetish-related self-hate, Cringe!!!!!   [2020-09-15 02:23:24.313000]
banning fats, Based...   [2020-09-15 02:22:40.978000]
narcissism, Cringe!!!   [2020-09-15 02:20:29.315000]
fat fetishism, Based!!!!!!   [2020-09-15 02:20:06.689000]
fat pikachu, Based!!   [2020-09-15 02:19:36.506000]
regional variants as a concept, Cringe.......   [2020-09-15 02:18:39.184000]
mega evolutions, Cringe!!!!!!   [2020-09-15 02:18:00.603000]
mega evolutions as a concept, Cringe..   [2020-09-15 02:17:44.163000]
gigantamax alolan gorochu, Based......   [2020-09-15 02:16:55.449000]
baby pokémon getting pushed down to stage 0 so gorochu can be a thing, Based!!!!!!   [2020-09-15 02:10:18.327000]
rat evolving into alolan raichu, Based..   [2020-09-15 02:08:56.430000]
rat evolving, Based...   [2020-09-15 02:08:36.409000]
rat being a pikachu, Based.   [2020-09-15 02:08:02.697000]
gigantamax monke, Based...   [2020-09-15 02:07:01.880000]
gigantamax giraffe, Cringe.......   [2020-09-15 02:06:37.332000]
dynamax in africa, Based!   [2020-09-15 02:06:14.357000]
dynamax in australia, Cringe!   [2020-09-15 02:05:51.175000]
dynamax in the former British Empire, Cringe.   [2020-09-15 02:05:31.111000]
dynamax in america, Cringe!!!!!!   [2020-09-15 02:04:52.983000]
dynamax in ireland, Cringe!!   [2020-09-15 02:04:37.294000]
dynamax anywhere but galar, Based!!!   [2020-09-15 02:04:08.633000]
dynamax being in all future pokémon games, Cringe!!!!!!   [2020-09-15 02:03:48.923000]
dynamax, Based!!!!   [2020-09-15 02:03:24.127000]
boruto, Based..   [2020-09-15 02:02:47.256000]
naruto, Cringe.   [2020-09-15 02:02:34.360000]
alolan ninetales, Based.....   [2020-09-15 02:01:14.221000]
alolan ninetails, Cringe!   [2020-09-15 02:00:50.537000]
galarian ponyta, Based...   [2020-09-15 01:59:45.392000]
DIO's Bizarre Adventure, Based!!!!!   [2020-09-15 01:58:22.389000]
JoJo's Bizarre Adventure, Cringe....   [2020-09-15 01:57:46.328000]
historical assassinations, Based.......   [2020-09-15 01:56:44.568000]
assassinating, Cringe!   [2020-09-15 01:56:18.884000]
assassinating donald j. trump, Cringe......   [2020-09-15 01:56:07.904000]
assassinating donald j. trump and cashing in the $80M bounty, Cringe.....   [2020-09-15 01:55:43.504000]
the assassination of julius caesar, Based......   [2020-09-15 01:51:18.083000]
crossing the rubicon, Cringe....   [2020-09-15 01:50:45.271000]
invading constantinople, Based!!!!   [2020-09-15 01:49:15.800000]
satan, Cringe......   [2020-09-15 01:48:51.061000]
yahweh, Cringe!!!!!!   [2020-09-15 01:48:08.539000]
being gay, Cringe..   [2020-09-15 01:47:33.833000]
DIO x pucci, Cringe!!   [2020-09-15 01:47:01.562000]
the End of the War to End All Wars, Cringe!!!!!!!   [2020-09-15 01:44:59.969000]
diavolo, Based!   [2020-09-15 01:43:17.729000]
nachos 4 breakfast, nachos 4 dinner, Based!!!!!   [2020-09-15 00:46:41.633000]
enrico pucci, Cringe!!!!!!   [2020-09-15 00:46:37.853000]
DIO, Based!!!!!!   [2020-09-15 00:46:18.678000]
killer queen, Based.   [2020-09-15 00:45:59.683000]
another brick in the wall, Based!!!!!   [2020-09-15 00:45:29.858000]
message send times, Cringe!!!!   [2020-09-15 00:42:46.734000]
bullet with butterfly wings, Based......   [2020-09-15 00:35:37.754000]
america having 121 guns per person instead of per capita, Based..   [2020-09-15 00:29:39.951000]
alcohol, Cringe!!!   [2020-09-15 00:27:56.730000]
speed, Cringe!!!!!   [2020-09-15 00:27:36.686000]
weed, Cringe!!   [2020-09-15 00:25:08.061000]
being on ALL the illegal drugs, Cringe!!!!!   [2020-09-15 00:24:20.607000]
meth, Based!!!!   [2020-09-15 00:22:49.110000]
<#553657755936882708>, Cringe......   [2020-09-15 00:21:51.091000]
rat being he/they, Based!!!!!!!   [2020-09-15 00:21:12.271000]
pride flags, Based!!   [2020-09-15 00:20:40.671000]
having issues, Based.......   [2020-09-15 00:17:16.392000]
deviantart, Cringe!!!!   [2020-09-15 00:15:17.817000]
horny jokes, Cringe!!!!!!   [2020-09-15 00:13:24.559000]
vore, giantess, and bdsm, Based......   [2020-09-15 00:13:05.854000]
rats, Based!!!!!!!   [2020-09-15 00:12:59.599000]
game and watch 9, Based!!!   [2020-09-15 00:12:09.197000]
ganondorf, Cringe!!!!!   [2020-09-15 00:11:53.007000]
sitting on your tail, Based!!   [2020-09-15 00:11:19.732000]
having pets, Cringe.......   [2020-09-15 00:11:13.389000]
adolf hitler and joseph stalin singing video killed the radio star, Cringe....   [2020-09-15 00:10:40.023000]
impact font memes, Based.   [2020-09-15 00:09:44.815000]
hell, Based..   [2020-09-15 00:09:22.620000]
cool and new web comic, Cringe.   [2020-09-15 00:09:04.237000]
self care, Cringe!!!!   [2020-09-15 00:09:00.751000]
improper capitalization, Cringe..   [2020-09-15 00:08:40.443000]
the mayan apocalypse actually having happened, Cringe....   [2020-09-15 00:07:30.532000]
rat *getting* therapy, Cringe!!   [2020-09-15 00:02:08.303000]
rat needing therapy, Based...   [2020-09-15 00:01:19.262000]
rat, Cringe..   [2020-09-15 00:01:04.653000]
rat being straight, Based!!!!!   [2020-09-15 00:00:40.192000]
rat being a furry, Based...   [2020-09-15 00:00:23.813000]
rat being a juggalo, Based!   [2020-09-15 00:00:05.160000]
faygo in general, Based!!!!!   [2020-09-14 23:58:55.626000]
faygo root beer, Based!!!!!!   [2020-09-14 23:58:49.195000]
faygo redpop, Based!!!!!!!   [2020-09-14 23:58:10.659000]
rage, Cringe!!!!!!!   [2020-09-14 23:57:48.561000]
juggalo furries, Cringe.   [2020-09-14 23:57:36.611000]
<:ClownTime:678864305994596385>, Based...   [2020-09-14 23:56:53.563000]
<:thonk:476911182863794188>, Cringe!!!!!   [2020-09-14 23:56:43.580000]
<:CongratsYouFailed:725970867909033994>, Cringe!!   [2020-09-14 23:56:43.432000]
<:theplotthicken:645391951079800896>, Cringe..   [2020-09-14 23:56:35.713000]
:<:CongratsYouFailed:725970867909033994>, Cringe!!!!!!   [2020-09-14 23:56:26.525000]
<:catdave:645391950962229248>, Cringe!!!!!   [2020-09-14 23:56:25.897000]
homosuck, Based!   [2020-09-14 23:56:08.776000]
🅱️, Cringe....   [2020-09-14 23:56:07.448000]
<:eridab:668627576943673365>, Cringe!!   [2020-09-14 23:55:57.894000]
:wishdrCheer:, Based!!!!!!!   [2020-09-14 23:55:40.959000]
<:homosuck:645391951826255882>, Cringe!   [2020-09-14 23:55:39.091000]
<:regiF:739306039278567747>, Cringe..   [2020-09-14 23:55:21.243000]
<:COMPOUND:733455146708762691>, Based.......   [2020-09-14 23:55:07.026000]
:wishdrPog:, Cringe!!!!!!!   [2020-09-14 23:54:10.173000]
being nb, Based....   [2020-09-14 23:50:38.942000]
rat being a boy, Based!!!!   [2020-09-14 23:49:54.088000]
rat being a girl, Cringe!!!!   [2020-09-14 23:49:44.210000]
wholesome furries, Cringe!!!!!!!   [2020-09-14 23:47:35.947000]
extreme furry pornography, Based!!!!!   [2020-09-14 23:46:41.814000]
r.bm, Cringe......   [2020-09-14 23:45:39.941000]
mb.r, Cringe!!   [2020-09-14 23:45:33.663000]
pope guy fieri, Cringe!!!!!!!   [2020-09-14 23:45:05.545000]
double juggalo presidents, Based!!!!!!!   [2020-09-14 23:44:25.532000]
cat sona server, Based..   [2020-09-14 23:43:37.705000]
pokemon sonas, Cringe...   [2020-09-14 23:43:24.248000]
fursuits, Based..   [2020-09-14 23:42:54.766000]
cats, Based!!!!!   [2020-09-14 23:42:10.422000]
